Upside down,Hélène Ségara,2001,https://genius.com/Helene-segara-upside-down-lyrics
Urgence,Robert Charlebois,1974,https://genius.com/Robert-charlebois-urgence-lyrics
Urgent desir,Lara Fabian,1997,https://genius.com/Lara-fabian-urgent-desir-lyrics
Urubus,Bernard Lavilliers,1979,https://genius.com/Bernard-lavilliers-urubus-lyrics
USA/USSR,Yves Simon,1983,https://genius.com/Yves-simon-usa-ussr-lyrics
Utile,Julien Clerc,1992,https://genius.com/Julien-clerc-utile-lyrics
Utopia,Ophélie Winter  ,2009,https://genius.com/Ophelie-winter-utopia-lyrics
Utopie,Axelle Red,2006,https://genius.com/Axelle-red-utopie-lyrics
Va bien,Jeanne Mas,2011,https://genius.com/Jeanne-mas-va-bien-lyrics
Va danser,Edith Piaf,1936,https://genius.com/Edith-piaf-va-danser-lyrics
Va maintenant,Maurane,1995,https://genius.com/Maurane-va-maintenant-lyrics
Va où tu veux,Patrick Bruel,2006,https://genius.com/Patrick-bruel-va-ou-tu-veux-lyrics
Va pas prendre un tambour,Françoise Hardy,1963,https://genius.com/Francoise-hardy-va-pas-prendre-un-tambour-lyrics
Va petite étoile,Dalida,1960,https://genius.com/Dalida-va-petite-etoile-lyrics
Va plus loin,Catherine Lara,2006,https://genius.com/Catherine-lara-va-plus-loin-lyrics
Va pour l’amour libre,Hervé Vilard,1981,https://genius.com/Herve-vilard-va-pour-lamour-libre-lyrics
Va savoir,Liane Foly,1990,https://genius.com/Liane-foly-va-savoir-lyrics
Va te cacher,Johnny Hallyday,1978,https://genius.com/Johnny-hallyday-va-te-cacher-lyrics
"Va t'en, va t'en",Dick Rivers,1964,https://genius.com/Dick-rivers-va-ten-va-ten-lyrics
Va vers le soleil,Michel Fugain,2001,https://genius.com/Michel-fugain-va-vers-le-soleil-lyrics
Va voir ailleurs,Christophe Maé,2007,https://genius.com/Christophe-mae-va-voir-ailleurs-lyrics
Vachement décontracté,Claude Nougaro,1958,https://genius.com/Claude-nougaro-vachement-decontracte-lyrics
Vade retro,Joe Dassin,1974,https://genius.com/Joe-dassin-vade-retro-lyrics
Vade retro téléphone,Bénabar,2003,https://genius.com/Benabar-vade-retro-telephone-lyrics
Vagabondage,Paul Personne,1992,https://genius.com/Paul-personne-vagabondage-lyrics
Vague à l'âme,Jacques Higelin,1979,https://genius.com/Jacques-higelin-vague-a-lame-lyrics
Vaison-la-romaine,Jean-Louis Murat,2002,https://genius.com/Jean-louis-murat-vaison-la-romaine-lyrics
Vaisselle cassée,Pierre Perret,1974,https://genius.com/Pierre-perret-vaiselle-cassee-lyrics
Valentin,Nino Ferrer,1977,https://genius.com/Nino-ferrer-valentin-lyrics
Valentin pour mouffe,Robert Charlebois,1976,https://genius.com/Robert-charlebois-valentin-pour-mouffe-lyrics
Valentine day,Michel Sardou,2006,https://genius.com/Michel-sardou-valentine-day-lyrics
Valise 93,Dorothée,1992,https://genius.com/Dorothee-valise-93-lyrics
Vallee des merveilles,Jean-Louis Murat,2014,https://genius.com/Jean-louis-murat-vallee-des-merveilles-lyrics
